År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2023;01 14;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.643;31.758;19.42;12.08;0.258;0.885
2023;01 14;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.553;31.758;19.42;12.08;0.258;0.795
2023;01 14;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.593;31.758;19.42;12.08;0.258;0.835
2023;01 15;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.073;31.238;18.90;12.08;0.258;0.835
2023;01 15;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.378;31.238;18.90;12.08;0.258;1.14
2023;01 17;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;29.973;29.238;16.90;12.08;0.258;0.735
2023;01 17;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;29.973;29.238;16.90;12.08;0.258;0.735
2023;01 20;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.483;31.318;18.98;12.08;0.258;1.165
2023;01 20;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.183;31.318;18.98;12.08;0.258;0.865
2023;01 20;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.183;31.318;18.98;12.08;0.258;0.865
2023;01 23;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.013;31.328;18.99;12.08;0.258;0.685
2023;01 25;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.223;31.288;18.95;12.08;0.258;0.935
2023;01 25;EKERÖ;EKERÖ FÖRSAMLING;32.223;31.288;18.95;12.08;0.258;0.935
2023;01 25;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.273;31.288;18.95;12.08;0.258;0.985
2023;01 25;EKERÖ;LOVÖ FÖRSAMLING;32.223;31.288;18.95;12.08;0.258;0.935
2023;01 26;HUDDINGE;FLEMINGSBERGS FÖRSAMLING;32.523;31.808;19.47;12.08;0.258;0.715
2023;01 26;HUDDINGE;HUDDINGE FÖRSAMLING;32.523;31.808;19.47;12.08;0.258;0.715
2023;01 26;HUDDINGE;S:T MIKAELS FÖRSAMLING;32.523;31.808;19.47;12.08;0.258;0.715
2023;01 26;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.523;31.808;19.47;12.08;0.258;0.715
2023;01 27;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.423;32.488;20.15;12.08;0.258;0.935
2023;01 27;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.498;32.488;20.15;12.08;0.258;1.01
2023;01 28;SALEM;SALEMS FÖRSAMLING;32.597;31.758;19.42;12.08;0.258;0.839
2023;01 36;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;32.863;32.018;19.68;12.08;0.258;0.845
2023;01 36;HANINGE;VÄSTERHANINGE-MUSKÖ FÖRSAMLING;32.863;32.018;19.68;12.08;0.258;0.845
2023;01 36;HANINGE;ÖSTERHANINGE FÖRSAMLING;32.863;32.018;19.68;12.08;0.258;0.845
2023;01 38;TYRESÖ;TYRESÖ FÖRSAMLING;32.653;31.838;19.50;12.08;0.258;0.815
2023;01 39;UPPLANDS-BRO;BRO FÖRSAMLING;32.728;31.738;19.40;12.08;0.258;0.99
2023;01 39;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYDS FÖRSAMLING;32.618;31.738;19.40;12.08;0.258;0.88
2023;01 40;NYKVARN;TURINGE-TAXINGE FÖRSAMLING;33.378;32.308;19.97;12.08;0.258;1.07
2023;01 60;TÄBY;TÄBY FÖRSAMLING;30.663;29.888;17.55;12.08;0.258;0.775
2023;01 62;DANDERYD;DANDERYDS FÖRSAMLING;31.413;30.688;18.35;12.08;0.258;0.725
2023;01 63;SOLLENTUNA;SOLLENTUNA FÖRSAMLING;31.253;30.458;18.12;12.08;0.258;0.795
2023;01 80;STOCKHOLM;ADOLF FREDRIKS FÖRSAMLING;30.99;29.885;17.74;12.08;0.065;1.105
2023;01 80;STOCKHOLM;BROMMA FÖRSAMLING;30.65;29.885;17.74;12.08;0.065;0.765
2023;01 80;STOCKHOLM;BRÄNNKYRKA FÖRSAMLING;30.64;29.885;17.74;12.08;0.065;0.755
2023;01 80;STOCKHOLM;ENGELBREKTS FÖRSAMLING;30.67;29.885;17.74;12.08;0.065;0.785
2023;01 80;STOCKHOLM;ENSKEDE-ÅRSTA FÖRSAMLING;30.78;29.885;17.74;12.08;0.065;0.895
2023;01 80;STOCKHOLM;FARSTA FÖRSAMLING;30.75;29.885;17.74;12.08;0.065;0.865
2023;01 80;STOCKHOLM;GUSTAV VASA FÖRSAMLING;30.86;29.885;17.74;12.08;0.065;0.975
2023;01 80;STOCKHOLM;HEDVIG ELEONORA FÖRSAMLING;30.62;29.885;17.74;12.08;0.065;0.735
2023;01 80;STOCKHOLM;HÄGERSTENS FÖRSAMLING;30.645;29.885;17.74;12.08;0.065;0.76
2023;01 80;STOCKHOLM;HÄSSELBY FÖRSAMLING;30.68;29.885;17.74;12.08;0.065;0.795
2023;01 80;STOCKHOLM;HÖGALIDS FÖRSAMLING;30.85;29.885;17.74;12.08;0.065;0.965
2023;01 80;STOCKHOLM;KATARINA FÖRSAMLING;30.705;29.885;17.74;12.08;0.065;0.82
2023;01 80;STOCKHOLM;MARIA MAGDALENA FÖRSAMLING;30.75;29.885;17.74;12.08;0.065;0.865
2023;01 80;STOCKHOLM;OSCARS FÖRSAMLING;30.60;29.885;17.74;12.08;0.065;0.715
2023;01 80;STOCKHOLM;S:T JOHANNES FÖRSAMLING;30.87;29.885;17.74;12.08;0.065;0.985
2023;01 80;STOCKHOLM;S:T MATTEUS FÖRSAMLING;30.55;29.885;17.74;12.08;0.065;0.665
2023;01 80;STOCKHOLM;SKARPNÄCKS FÖRSAMLING;30.765;29.885;17.74;12.08;0.065;0.88
2023;01 80;STOCKHOLM;SKÄRHOLMENS FÖRSAMLING;30.78;29.885;17.74;12.08;0.065;0.895
2023;01 80;STOCKHOLM;SOFIA FÖRSAMLING;30.73;29.885;17.74;12.08;0.065;0.845
2023;01 80;STOCKHOLM;SPÅNGA-KISTA FÖRSAMLING;30.66;29.885;17.74;12.08;0.065;0.775
2023;01 80;STOCKHOLM;STOCKHOLMS DOMKYRKOFÖRSAMLING;30.91;29.885;17.74;12.08;0.065;1.025
2023;01 80;STOCKHOLM;VANTÖRS FÖRSAMLING;30.68;29.885;17.74;12.08;0.065;0.795
2023;01 80;STOCKHOLM;VÄLLINGBY FÖRSAMLING;30.68;29.885;17.74;12.08;0.065;0.795
2023;01 80;STOCKHOLM;VÄSTERLEDS FÖRSAMLING;30.64;29.885;17.74;12.08;0.065;0.755
2023;01 80;STOCKHOLM;VÄSTERMALMS FÖRSAMLING;30.58;29.885;17.74;12.08;0.065;0.695
2023;01 80;STOCKHOLM;TYSKA S:TA GERTRUDS FÖRSAMLING;30.66;29.885;17.74;12.08;0.065;0.775
2023;01 80;STOCKHOLM;FINSKA FÖRSAMLINGEN;30.82;29.885;17.74;12.08;0.065;0.935
2023;01 80;STOCKHOLM;HOVFÖRSAMLINGEN;30.685;29.885;17.74;12.08;0.065;0.80
2023;01 81;SÖDERTÄLJE;ENHÖRNA FÖRSAMLING;33.378;32.488;20.15;12.08;0.258;0.89
2023;01 81;SÖDERTÄLJE;HÖLÖ-MÖRKÖ FÖRSAMLING;33.598;32.488;20.15;12.08;0.258;1.11
2023;01 81;SÖDERTÄLJE;SÖDERTÄLJE FÖRSAMLING;33.378;32.488;20.15;12.08;0.258;0.89
2023;01 81;SÖDERTÄLJE;VÅRDINGE FÖRSAMLING;33.558;32.488;20.15;12.08;0.258;1.07
2023;01 81;SÖDERTÄLJE;YTTERJÄRNA FÖRSAMLING;33.558;32.488;20.15;12.08;0.258;1.07
2023;01 81;SÖDERTÄLJE;ÖSTERTÄLJE FÖRSAMLING;33.378;32.488;20.15;12.08;0.258;0.89
2023;01 81;SÖDERTÄLJE;ÖVERJÄRNA FÖRSAMLING;33.558;32.488;20.15;12.08;0.258;1.07
2023;01 82;NACKA;BOO FÖRSAMLING;31.103;30.318;17.98;12.08;0.258;0.785
2023;01 82;NACKA;NACKA FÖRSAMLING;31.113;30.318;17.98;12.08;0.258;0.795
2023;01 82;NACKA;SALTSJÖBADENS FÖRSAMLING;31.193;30.318;17.98;12.08;0.258;0.875
2023;01 83;SUNDBYBERG;SUNDBYBERGS FÖRSAMLING;32.308;31.588;19.25;12.08;0.258;0.72
2023;01 84;SOLNA;SOLNA FÖRSAMLING;30.393;29.708;17.37;12.08;0.258;0.685
2023;01 86;LIDINGÖ;LIDINGÖ FÖRSAMLING;30.843;30.178;17.84;12.08;0.258;0.665
2023;01 87;VAXHOLM;VAXHOLMS FÖRSAMLING;32.483;31.638;19.30;12.08;0.258;0.845
2023;01 88;NORRTÄLJE;BLIDÖ FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;EDSBRO-UNUNGE FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;ESTUNA OCH SÖDERBY-KARLS FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;FASTERNA FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;FRÖTUNA FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;GOTTRÖRA FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;HUSBY, SKEDERIDS OCH RÖ FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;HÄVERÖ-EDEBO FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;LOHÄRADS FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;LÄNNA FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;NORRTÄLJE-MALSTA FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
